time,baseline_hazard
0,-0.007686716912321118
1,0.0029255855507829796
2,0.0029255855507829796
3,0.0029255855507829796
4,0.0029255855507829796
5,0.0029255855507829796
6,0.0029255855507829796
7,0.0029255855507829796
8,0.0029255855507829796
9,0.0029255855507829796
10,0.0029255855507829796
11,0.0029255855507829796
12,0.0029255855507829796
13,0.0029255855507829796
14,0.0029255855507829796
15,0.014452551772777503
16,0.007085469615821703
17,0.007085469615821696
18,0.013541521325953501
19,0.013541521325953501
20,0.013541521325953501
21,0.040824449613297994
22,0.06946430473683801
23,0.11817884722948097
24,0.08377718413261803
25,0.057149026351434984
26,0.03326114986351997
27,0.04460610726435299
28,0.05502906240359107
29,0.03138677779605903
30,0.041663259121215934
31,0.030655388694471042
32,0.06292110091204395
33,0.031200460547883058
34,0.05248612033746003
35,0.10764204451958892
36,0.08537127868152194
37,0.04088279584377008
38,0.10947863975349992
39,0.08797632806229005
40,0.02122284097464
41,0.06654266767960992
42,0.05644030562554003
43,0.04578148344098998
44,0.058021776496440136
45,0.0593060674113699
46,0.011757027553780164
47,0.005884457667599818
48,0.00588445766760004
49,0.011841558649019923
50,0.03640681199393003
51,0.01188012450841014
52,0.011872304695830005
53,0.04900260217391983
54,0.024125099410820194
55,0.061205274868079806
56,0.11248396907725011
57,0.058484319023609954
58,0.03404883600533015
59,0.09385384641612982
60,0.021838428582140246
61,0.010753764039479918
62,0.06597176348266975
63,0.08779834929016017
64,0.052679930466669855
65,0.04159185916078023
66,0.04153340734541988
67,0.11026855260571988
68,0.06374443839268995
69,0.08564001967920998
70,0.041067769485710226
71,0.062391810540979975
72,0.05106550898703999
73,0.09695722442525012
74,0.03193128749909002
75,0.11591639009545007
76,0.021857069295049936
77,0.05700729416001993
78,0.034343338885200136
79,0.034527009620489935
80,0.011380108637039754
81,0.011512768317354816
82,0.01151276831735526
83,0.017703013162584824
84,0.017703013162585268
85,0.0603206420495499
86,0.04830554725814995
87,0.06026612930034014
88,0.0592673156856498
89,0.03449517838603011
90,0.08261088442898012
91,0.033923305878389876
92,0.09493876480910002
93,0.04685512746006992
94,0.07134951060000017
95,0.046206039901569795
96,0.1194526843908097
97,0.05595629738017038
98,0.05712863691740022
99,0.03423630005273992
100,0.05925480976793018
101,0.05861681194271995
102,0.046803872328539775
103,0.10047435373463998
104,0.060498068643659586
105,0.037726653844360136
106,0.08009852686450003
107,0.06716137193398986
108,0.040587031333650714
109,0.04281030894834981
110,0.014338762071670175
111,0.02925506042437931
112,0.030304630239970543
113,0.06484784393308995
114,0.0158996215733902
115,0.016034858838959387
116,0.015986782714220382
117,0.04904543874468015
118,0.033603099068479914
119,0.016417639394870065
120,0.10492432584744016
121,0.08805764708473962
122,0.05107650602366043
123,0.0899387494760493
124,0.03501221462778048
125,0.03754823356433956
126,0.12609708023753985
127,0.06008411437723016
128,0.06002298779971049
129,0.019267147085400005
130,0.10245043047916003
131,0.09840376752335978
132,0.0625864798908502
133,0.06155199536715994
134,0.04131240166659467
135,0.041312401666595555
136,0.02146139150540005
137,0.02239255318869926
138,0.04824837438582996
139,0.07469457119149059
140,0.02423947621629985
141,0.02446459235264964
142,0.02430605873959024
143,0.012221334792264393
144,0.012221334792265282
145,0.07699234047149073
146,0.02517731256357969
147,0.051791616151730224
148,0.026012670725839904
149,0.052571300380769515
150,0.025826595774139705
151,0.025826595774140593
152,0.05371780144428495
153,0.05371780144428495
154,0.07655660862388025
155,0.04909749334427982
156,0.051588466722080284
157,0.025962407030990065
158,0.05331457945353968
159,0.052102392581610424
160,0.05371074894783945
161,0.14037562440175044
162,0.025636936188830006
163,0.05301895317995964
164,0.05240919567509028
165,0.02747653483937018
166,0.05408310386424997
167,0.02621492307193929
168,0.11473309305412993
169,0.055845097571870284
170,0.026011948412680397
171,0.05351660873207997
172,0.02671910729205962
173,0.054241601670260486
174,0.027068340199279284
175,0.027068340199280172
176,0.008850504352556854
177,0.008850504352556854
178,0.008850504352556854
179,0.0
180,0.0
181,0.014902749752989664
182,0.014902749752989664
183,0.031001236947870936
184,0.06551769805743923
185,0.06274789133185976
186,0.05843226474306107
187,0.08488093751901893
188,0.0252695075455609
